t,x,ts
0.0,0.02,0.62191933
0.010012516,0.02,0.64471453
0.020025032,0.02,0.6671731
0.030037548,0.02,0.6892895
0.040050063,0.02,0.71106094
0.05006258,0.02,0.7324833
0.060075097,0.02,0.75355285
0.07008761,0.02,0.7742681
0.08010013,0.02,0.79462737
0.09011264,0.02,0.8146269
0.10012516,0.02,0.8342683
0.11013767,0.02,0.85354847
0.12015019,0.02,0.87246746
0.1301627,0.02,0.8910238
0.14017522,0.02,0.9092178
0.15018773,0.02,0.92704934
0.16020025,0.02,0.9445192
0.17021278,0.02,0.96162575
0.18022528,0.02,0.97837037
0.1902378,0.02,0.9947514
0.20025031,0.02,1.0107715
0.21026284,0.02,1.0264292
0.22027534,0.02,1.0417266
0.23028786,0.02,1.0566618
0.24030039,0.02,1.0712368
0.2503129,0.02,1.0854526
0.26032543,0.02,1.099309
0.27033794,0.02,1.1128044
0.28035045,0.02,1.125943
0.29036295,0.02,1.1387215
0.3003755,0.02,1.151144
0.310388,0.02,1.1632078
0.3204005,0.02,1.1749146
0.330413,0.02,1.1862655
0.34042555,0.02,1.1972592
0.35043806,0.02,1.2078958
0.36045057,0.02,1.2181778
0.37046307,0.02,1.2281001
0.3804756,0.02,1.2376685
0.39048812,0.02,1.2468786
0.40050063,0.02,1.2557318
0.41051313,0.02,1.2642267
0.42052567,0.02,1.2723632
0.43053818,0.02,1.2801394
0.44055068,0.02,1.2875557
0.4505632,0.02,1.2946091
0.46057573,0.02,1.3012998
0.47058824,0.02,1.307626
0.48060077,0.02,1.3135841
0.49061328,0.02,1.3191738
0.5006258,0.02,1.3243918
0.5106383,0.02,1.3292379
0.52065086,0.02,1.3337066
0.5306634,0.02,1.3377981
0.5406759,0.02,1.3415086
0.5506884,0.02,1.3448348
0.5607009,0.02,1.347775
0.5707134,0.02,1.3503258
0.5807259,0.02,1.3524864
0.5907384,0.02,1.3542538
0.600751,0.02,1.3556256
0.6107635,0.02,1.3565996
0.620776,0.02,1.3571782
0.6307885,0.02,1.357358
0.640801,0.02,1.3571422
0.6508135,0.02,1.3565304
0.660826,0.02,1.3555264
0.67083853,0.02,1.3541341
0.6808511,0.02,1.3523593
0.6908636,0.02,1.3502078
0.7008761,0.02,1.3476899
0.7108886,0.02,1.3448133
0.72090113,0.02,1.3415937
0.73091364,0.02,1.3380444
0.74092615,0.02,1.3341813
0.75093865,0.02,1.3300238
0.7609512,0.02,1.3255913
0.7709637,0.02,1.3209102
0.78097624,0.02,1.3160033
0.79098874,0.02,1.3108978
0.80100125,0.02,1.3056247
0.81101376,0.02,1.3002145
0.82102627,0.02,1.2946987
0.8310388,0.02,1.289114
0.84105134,0.02,1.2834954
0.85106385,0.02,1.2778771
0.86107635,0.02,1.2722974
0.87108886,0.02,1.2667954
0.88110137,0.02,1.2614045
0.8911139,0.02,1.2561636
0.9011264,0.02,1.2511115
0.9111389,0.02,1.2462788
0.92115146,0.02,1.2417018
0.93116397,0.02,1.237412
0.9411765,0.02,1.2334392
0.951189,0.02,1.2298126
0.96120155,0.02,1.2265556
0.97121406,0.02,1.223695
0.98122656,0.02,1.2212472
0.9912391,0.02,1.2192299
1.0012516,0.02,1.217659
1.0112641,0.02,1.2165432
1.0212766,0.02,1.2158899
1.0312891,0.02,1.2157059
1.0413016,0.02,1.2159913
1.0513141,0.02,1.216744
1.0613266,0.02,1.2179577
1.0713391,0.02,1.2196281
1.0813516,0.02,1.2217376
1.0913641,0.02,1.2242785
1.1013767,0.02,1.2272296
1.1113892,0.02,1.2305734
1.1214018,0.02,1.234289
1.1314143,0.02,1.2383525
1.1414268,0.02,1.2427378
1.1514393,0.02,1.2474184
1.1614518,0.02,1.2523625
1.1714643,0.02,1.2575419
1.1814768,0.02,1.2629247
1.1914895,0.02,1.2684779
1.2015018,0.02,1.2741666
1.2115144,0.02,1.2799577
1.2215269,0.02,1.285814
1.2315394,0.02,1.291703
1.2415519,0.02,1.2975898
1.2515644,0.02,1.3034382
1.2615769,0.02,1.3092132
1.2715895,0.02,1.3148792
1.281602,0.02,1.3204062
1.2916145,0.02,1.3257573
1.301627,0.02,1.330904
1.3116395,0.02,1.3358109
1.321652,0.02,1.340451
1.3316646,0.02,1.3447964
1.3416771,0.02,1.3488204
1.3516896,0.02,1.3524935
1.3617022,0.02,1.3557966
1.3717147,0.02,1.3587065
1.3817272,0.02,1.3612022
1.3917397,0.02,1.3632638
1.4017522,0.02,1.3648763
1.4117647,0.02,1.3660276
1.4217772,0.02,1.3667039
1.4317899,0.02,1.3668945
1.4418023,0.02,1.3665922
1.4518148,0.02,1.3657892
1.4618273,0.02,1.3644834
1.4718398,0.02,1.3626738
1.4818523,0.02,1.3603609
1.4918648,0.02,1.3575475
1.5018773,0.02,1.354239
1.5118899,0.02,1.3504403
1.5219024,0.02,1.3461637
1.531915,0.02,1.3414204
1.5419275,0.02,1.3362207
1.55194,0.02,1.3305819
1.5619525,0.02,1.3245211
1.571965,0.02,1.3180547
1.5819775,0.02,1.311207
1.59199,0.02,1.3039973
1.6020025,0.02,1.2964509
1.612015,0.02,1.2885888
1.6220275,0.02,1.2804406
1.63204,0.02,1.2720306
1.6420525,0.02,1.2633884
1.652065,0.02,1.25454
1.6620775,0.02,1.2455163
1.67209,0.02,1.2363455
1.6821027,0.02,1.2270567
1.6921152,0.02,1.2176795
1.7021277,0.02,1.2082424
1.7121402,0.02,1.1987746
1.7221527,0.02,1.1893022
1.7321652,0.02,1.1798525
1.7421777,0.02,1.170454
1.7521904,0.02,1.1611295
1.7622027,0.02,1.1519005
1.7722152,0.02,1.1427894
1.7822278,0.02,1.1338174
1.7922403,0.02,1.1250024
1.8022528,0.02,1.1163602
1.8122653,0.02,1.1079054
1.8222778,0.02,1.0996487
1.8322904,0.02,1.0916011
1.8423029,0.02,1.0837708
1.8523154,0.02,1.0761621
1.8623279,0.02,1.0687792
1.8723404,0.02,1.0616231
1.882353,0.02,1.0546942
1.8923655,0.02,1.0479872
1.902378,0.02,1.0415001
1.9123905,0.02,1.0352249
1.9224031,0.02,1.0291536
1.9324156,0.02,1.023277
1.9424281,0.02,1.0175848
1.9524406,0.02,1.0120637
1.9624531,0.02,1.0066993
1.9724656,0.02,1.0014799
1.9824781,0.02,0.99638885
1.9924908,0.02,0.9914115
2.0025032,0.02,0.9865318
2.0125158,0.02,0.98173255
2.0225282,0.02,0.976999
2.0325408,0.02,0.9723136
2.0425532,0.02,0.9676601
2.0525658,0.02,0.9630229
2.0625782,0.02,0.9583859
2.0725908,0.02,0.953734
2.0826032,0.02,0.94905347
2.0926158,0.02,0.94433004
2.1026282,0.02,0.93954915
2.1126409,0.02,0.9346991
2.1226532,0.02,0.9297691
2.1326659,0.02,0.9247454
2.1426783,0.02,0.9196208
2.152691,0.02,0.9143835
2.1627035,0.02,0.9090267
2.1727161,0.02,0.9035427
2.1827285,0.02,0.89792424
2.1927412,0.02,0.8921682
2.2027535,0.02,0.88626677
2.2127662,0.02,0.8802176
2.2227786,0.02,0.8740186
2.2327912,0.02,0.86766547
2.2428036,0.02,0.86116
2.2528162,0.02,0.8544995
2.2628286,0.02,0.847686
2.2728412,0.02,0.8407225
2.2828536,0.02,0.83360785
2.2928662,0.02,0.82634825
2.3028786,0.02,0.81894654
2.3128912,0.02,0.81140655
2.3229036,0.02,0.8037366
2.3329163,0.02,0.79594105
2.3429286,0.02,0.78802794
2.3529413,0.02,0.7800042
2.3629537,0.02,0.771877
2.3729663,0.02,0.76365966
2.3829787,0.02,0.75536126
2.3929913,0.02,0.7469906
2.4030037,0.02,0.7385592
2.4130163,0.02,0.73008007
2.4230287,0.02,0.7215678
2.4330413,0.02,0.71303314
2.4430537,0.02,0.7044901
2.4530663,0.02,0.6959538
2.4630787,0.02,0.6874396
2.4730914,0.02,0.6789622
2.483104,0.02,0.6705372
2.4931166,0.02,0.662183
2.503129,0.02,0.6539151
2.5131416,0.02,0.64574903
2.523154,0.02,0.63770527
2.5331666,0.02,0.6297988
2.543179,0.02,0.6220488
2.5531917,0.02,0.6144733
2.563204,0.02,0.6070909
2.5732167,0.02,0.5999176
2.583229,0.02,0.5929741
2.5932417,0.02,0.58627456
2.603254,0.02,0.5798406
2.6132667,0.02,0.573688
2.623279,0.02,0.5678343
2.6332917,0.02,0.56229514
2.643304,0.02,0.5570888
2.6533167,0.02,0.55222887
2.6633291,0.02,0.5477318
2.6733418,0.02,0.54361314
2.6833541,0.02,0.5398838
2.6933668,0.02,0.53655905
2.7033792,0.02,0.5336508
2.7133918,0.02,0.5311677
2.7234044,0.02,0.529123
2.733417,0.02,0.5275244
2.7434294,0.02,0.5263805
2.753442,0.02,0.525696
2.7634544,0.02,0.5254776
2.773467,0.02,0.5257301
2.7834795,0.02,0.5264558
2.793492,0.02,0.52765626
2.8035045,0.02,0.52933353
2.813517,0.02,0.5314824
2.8235295,0.02,0.5341043
2.833542,0.02,0.53719133
2.8435545,0.02,0.54074043
2.8535671,0.02,0.5447437
2.8635795,0.02,0.549195
2.8735921,0.02,0.55407995
2.8836045,0.02,0.5593881
2.8936172,0.02,0.5651106
2.9036295,0.02,0.5712299
2.9136422,0.02,0.57772964
2.9236546,0.02,0.58459276
2.9336672,0.02,0.5918042
2.9436796,0.02,0.59933966
2.9536922,0.02,0.60718125
2.9637046,0.02,0.61530775
2.9737172,0.02,0.6236953
2.9837296,0.02,0.6323189
2.9937422,0.02,0.641154
3.0037546,0.02,0.6501779
3.0137672,0.02,0.65936035
3.0237796,0.02,0.6686761
3.0337923,0.02,0.678101
3.043805,0.02,0.6876046
3.0538175,0.02,0.6971604
3.06383,0.02,0.70673984
3.0738425,0.02,0.7163159
3.083855,0.02,0.72586197
3.0938675,0.02,0.7353515
3.10388,0.02,0.74475664
3.1138926,0.02,0.7540547
3.123905,0.02,0.7632181
3.1339176,0.02,0.7722246
3.14393,0.02,0.78105015
3.1539426,0.02,0.78967494
3.163955,0.02,0.7980768
3.1739676,0.02,0.8062379
3.18398,0.02,0.81413823
3.1939926,0.02,0.821765
3.204005,0.02,0.8291034
