t,tf0,ts0
520392.6,873.9418,795.01514
522870.66,873.4237,846.3069
525348.75,872.6321,864.8959
527826.75,872.83276,871.0056
530304.8,872.3694,872.6313
532782.9,872.7628,873.2811
535260.94,872.5812,873.3809
537739.0,873.2508,873.6113
540217.06,873.47125,873.81616
542695.1,874.1153,874.3183
545173.2,873.8443,874.5654
547651.25,873.9612,874.7129
550129.3,873.6427,874.55676
552607.4,873.62366,874.41785
555085.44,873.1479,874.0862
557563.5,872.9597,873.76465
560041.56,872.49713,873.57135
562519.6,872.56586,873.3469
564997.7,870.7941,873.05237
567475.75,866.6271,870.417
569953.8,857.12537,865.0547
572431.9,843.29956,854.46814
574909.94,823.5164,839.9507
577388.0,800.6217,819.7431
579866.06,773.1312,795.9579
582344.1,744.19006,768.07056
584822.2,738.21765,743.90955
587300.25,742.3538,740.5681
589778.25,740.992,740.43494
592256.3,741.4333,739.9558
594734.4,739.80707,739.8584
597212.44,740.19977,739.3855
599690.5,738.64307,739.244
602168.56,738.61145,739.3775
